Date,Country Advertisers Mobile OS,Budget, Installs 
04/02/2016,EU Facebook iOS,104.87, 154 
04/02/2016,EU GoogleSearch Android,419.76," 1,462 "
04/02/2016,EU GoogleSearch iOS,107.08, 191 
04/02/2016,US Facebook Android,"1,282.90"," 1,009 "
04/02/2016,US Facebook iOS,734.51, 328 
04/02/2016,US GoogleSearch Android,"1,718.81"," 1,204 "
04/02/2016,US GoogleSearch iOS,487.28, 189 
05/02/2016,EU Facebook Android,190.76, 722 
05/02/2016,EU Facebook iOS,105.29, 170 
05/02/2016,EU GoogleSearch Android,372.88," 1,282 "
05/02/2016,EU GoogleSearch iOS,102.88, 209 
05/02/2016,US Facebook Android,"1,220.59", 908 
05/02/2016,US Facebook iOS,728.96, 351 
05/02/2016,US GoogleSearch Android,"1,788.09"," 1,250 "
05/02/2016,US GoogleSearch iOS,520.43, 199 
06/02/2016,EU Facebook Android,190.76, 650 
06/02/2016,EU Facebook iOS,104.49, 109 
06/02/2016,EU GoogleSearch Android,418.44," 1,122 "
06/02/2016,EU GoogleSearch iOS,89.38, 157 
06/02/2016,US Facebook Android,"1,220.59", 873 
06/02/2016,US Facebook iOS,730.81, 270 
06/02/2016,US GoogleSearch Android,"1,762.71"," 1,233 "
06/02/2016,US GoogleSearch iOS,496.74, 225 
07/02/2016,EU Facebook Android,247.97, 857 
07/02/2016,EU Facebook iOS,135.06, 183 
07/02/2016,EU GoogleSearch Android,451.22," 1,269 "
07/02/2016,EU GoogleSearch iOS,71.32, 155 
07/02/2016,US Facebook Android,"1,220.59", 879 
07/02/2016,US Facebook iOS,733.46, 312 
07/02/2016,US GoogleSearch Android,"1,621.66"," 1,093 "
07/02/2016,US GoogleSearch iOS,374.18, 171 
08/02/2016,EU Facebook Android,247.97, 914 
08/02/2016,EU Facebook iOS,135.42, 223 
08/02/2016,EU GoogleSearch Android,479.54," 1,212 "
08/02/2016,EU GoogleSearch iOS,101.03, 170 
08/02/2016,US Facebook Android,"1,189.43", 871 
08/02/2016,US Facebook iOS,713.50, 302 
08/02/2016,US GoogleSearch Android,"1,828.06"," 1,321 "
08/02/2016,US GoogleSearch iOS,464.00, 241 
09/02/2016,EU Facebook Android,247.97, 993 
09/02/2016,EU Facebook iOS,134.88, 183 
09/02/2016,EU GoogleSearch Android,515.41," 1,334 "
09/02/2016,EU GoogleSearch iOS,105.57, 168 
09/02/2016,US Facebook Android,"1,233.81", 938 
09/02/2016,US Facebook iOS,788.37, 360 
09/02/2016,US GoogleSearch Android,"1,835.27"," 1,450 "
09/02/2016,US GoogleSearch iOS,476.43, 178 
10/02/2016,EU Facebook Android,297.55," 1,269 "
10/02/2016,EU Facebook iOS,89.97, 174 
10/02/2016,EU GoogleSearch Android,598.94," 1,540 "
10/02/2016,EU GoogleSearch iOS,99.05, 197 
10/02/2016,US Facebook Android,"1,584.70", 885 
10/02/2016,US Facebook iOS,"1,143.51", 421 
10/02/2016,US GoogleSearch Android,"1,797.07"," 1,350 "
10/02/2016,US GoogleSearch iOS,487.93, 203 
11/02/2016,EU Facebook Android,297.55," 1,189 "
11/02/2016,EU Facebook iOS,92.24, 170 
11/02/2016,EU GoogleSearch Android,601.74," 1,595 "
11/02/2016,EU GoogleSearch iOS,97.79, 199 
11/02/2016,US Facebook Android,"1,154.46", 725 
11/02/2016,US Facebook iOS,720.13, 262 
11/02/2016,US GoogleSearch Android,"1,745.35"," 1,298 "
11/02/2016,US GoogleSearch iOS,515.79, 193 
12/02/2016,EU Facebook Android,297.55," 1,193 "
12/02/2016,EU Facebook iOS,92.24, 162 
12/02/2016,EU GoogleSearch Android,576.25," 1,652 "
12/02/2016,EU GoogleSearch iOS,90.74, 200 
12/02/2016,US Facebook Android,"1,434.03", 869 
12/02/2016,US Facebook iOS,"1,077.41", 378 
12/02/2016,US GoogleSearch Android,"1,535.37", 890 
12/02/2016,US GoogleSearch iOS,509.79, 210 
13/02/2016,EU Facebook Android,297.55," 1,209 "
13/02/2016,EU Facebook iOS,92.19, 122 
13/02/2016,EU GoogleSearch Android,554.58," 1,505 "
13/02/2016,EU GoogleSearch iOS,88.20, 177 
13/02/2016,US Facebook Android,"1,429.15", 944 
13/02/2016,US Facebook iOS,"1,087.94", 305 
13/02/2016,US GoogleSearch Android,"1,573.01", 963 
13/02/2016,US GoogleSearch iOS,505.06, 207 
14/02/2016,EU Facebook Android,297.55," 1,132 "
14/02/2016,EU Facebook iOS,92.24, 155 
14/02/2016,EU GoogleSearch Android,573.02," 1,588 "
14/02/2016,EU GoogleSearch iOS,78.17, 187 
14/02/2016,US Facebook Android,"1,388.01", 755 
14/02/2016,US Facebook iOS,"1,038.89", 370 
14/02/2016,US GoogleSearch Android,"1,283.16", 773 
14/02/2016,US GoogleSearch iOS,350.63, 123 
15/02/2016,EU Facebook Android,297.55," 1,173 "
15/02/2016,EU Facebook iOS,92.24, 164 
15/02/2016,EU GoogleSearch Android,591.35," 1,888 "
15/02/2016,EU GoogleSearch iOS,97.77, 229 
15/02/2016,US Facebook Android,"1,288.10", 840 
15/02/2016,US Facebook iOS,906.83, 381 
15/02/2016,US GoogleSearch Android,"1,500.81", 953 
15/02/2016,US GoogleSearch iOS,469.66, 207 
16/02/2016,EU Facebook Android,297.55," 1,021 "
16/02/2016,EU Facebook iOS,92.24, 175 
16/02/2016,EU GoogleSearch Android,595.30," 1,553 "
16/02/2016,EU GoogleSearch iOS,102.54, 215 
16/02/2016,US Facebook Android,"1,348.12", 919 
16/02/2016,US Facebook iOS,967.76, 380 
16/02/2016,US GoogleSearch Android,"1,355.15", 958 
16/02/2016,US GoogleSearch iOS,545.98, 245 
17/02/2016,EU Facebook Android,318.42," 1,085 "
17/02/2016,EU Facebook iOS,66.61, 120 
17/02/2016,EU GoogleSearch Android,526.61," 1,521 "
17/02/2016,EU GoogleSearch iOS,85.93, 199 
17/02/2016,US Facebook Android,"1,444.19", 798 
17/02/2016,US Facebook iOS,"1,082.32", 389 
17/02/2016,US GoogleSearch Android,"1,425.24"," 1,012 "
17/02/2016,US GoogleSearch iOS,535.23, 206 
18/02/2016,EU Facebook Android,318.42, 943 
18/02/2016,EU Facebook iOS,49.62, 94 
18/02/2016,EU GoogleSearch Android,487.61," 1,653 "
